fast_period,slow_period,trade_size,final_balance,pnl,pnl_pct,num_trades,win_rate,avg_trade,max_drawdown,sharpe_ratio
10,20,100,100946.24,946.2400000000052,0.9462400000000053,5281,27.58947169096762,0.17917818594962964,4966.2,0.19053602351898943
15,30,100,100009.5,9.5,0.0095,3517,26.698891100369632,0.0027011657662778274,5572.529999999999,0.0017047911810254951
15,20,100,99997.88,-2.1199999999953434,-0.0021199999999953435,4297,28.228996974633464,-0.0004933674656754533,5107.480000000005,-0.0004150774941840871
15,40,100,99643.90000000001,-356.09999999999127,-0.35609999999999126,3033,27.06890867128256,-0.11740850642927807,5503.069999999999,-0.06470933497120541
10,40,100,99469.42,-530.5800000000017,-0.5305800000000017,3681,25.183374083129586,-0.14414017929910405,6509.09,-0.08151369853543303
10,50,100,99403.89,-596.1100000000006,-0.5961100000000006,3217,25.645010879701584,-0.18529996891513864,5856.24,-0.10179056869254002
20,40,100,99115.90000000001,-884.0999999999913,-0.8840999999999913,2613,27.745885954841178,-0.33834672789896764,5619.800000000003,-0.15731876579237533
25,40,100,98909.37999999999,-1090.62000000001,-1.09062000000001,2289,28.964613368283093,-0.476461336828308,6368.860000000001,-0.17124257716451763
15,60,100,98760.5,-1239.5,-1.2395,2411,26.752384902530068,-0.5141020323517184,6403.199999999999,-0.1935750874562719
10,30,100,98726.72,-1273.2799999999988,-1.2732799999999989,4269,26.610447411571798,-0.2982618880299841,5553.5599999999995,-0.22927275477351447
20,30,100,98505.44,-1494.5599999999977,-1.4945599999999977,3079,27.508931471256904,-0.4854043520623578,5381.379999999997,-0.2777280177203614
25,50,100,98337.59,-1662.4100000000035,-1.6624100000000035,2087,27.647340680402493,-0.7965548634403449,5767.85,-0.28822004733132855
15,50,100,98283.17,-1716.8300000000017,-1.7168300000000019,2693,26.438915707389526,-0.6375157816561464,6144.8200000000015,-0.2793946771426993
20,50,100,98166.11,-1833.8899999999994,-1.8338899999999996,2313,27.5832252485949,-0.7928620838737561,6206.1,-0.29549797779603926
20,60,100,98039.45999999999,-1960.5400000000081,-1.9605400000000082,2097,27.038626609442062,-0.934926084883168,6418.370000000002,-0.30545761618604217
10,60,100,97748.22,-2251.779999999999,-2.251779999999999,2925,24.88888888888889,-0.7698393162393145,6409.83,-0.35130104854574906
25,30,100,97600.76000000001,-2399.2399999999907,-2.3992399999999905,2731,27.608934456243134,-0.878520688392529,6632.42,-0.3617442803682503
5,60,100,97312.56,-2687.4400000000023,-2.6874400000000023,4169,21.923722715279442,-0.6446246102182782,6176.720000000001,-0.4350917639135337
30,40,100,97260.78,-2739.220000000001,-2.7392200000000013,2143,28.46476901539897,-1.2782174521698564,6131.500000000001,-0.44674549457718354
5,20,100,97226.46,-2773.5399999999936,-2.7735399999999935,7441,25.735788200510683,-0.3727375352775171,7691.589999999999,-0.3605938434055889
30,60,100,97189.74,-2810.2599999999948,-2.8102599999999947,1719,29.20302501454334,-1.6348225712623623,7290.6399999999985,-0.38546135867358633
30,50,100,96311.53,-3688.470000000001,-3.6884700000000015,1915,27.832898172323763,-1.9260939947780695,7341.500000000003,-0.502413675679357
5,50,100,95722.01,-4277.990000000005,-4.277990000000005,4637,22.32046581841708,-0.92257709726116,6944.259999999997,-0.6160469222062549
5,30,100,95325.74,-4674.259999999995,-4.674259999999995,6159,24.549439844130543,-0.7589316447475237,8461.279999999999,-0.5524294196622728
25,60,100,95057.31999999999,-4942.680000000008,-4.942680000000007,1909,27.39654269250917,-2.589146149816659,8075.780000000001,-0.6120374750178939
5,40,100,93183.8,-6816.199999999997,-6.816199999999998,5327,22.920968650272197,-1.279556973906514,8414.279999999999,-0.8100752530222429
5,10,100,89429.58,-10570.419999999998,-10.570419999999999,10703,27.048491077268054,-0.9876128188358333,10977.699999999923,-0.9628993322827253
